RadID;"Lokalitet	";"PrøveID	";KontekstID;Kontekst-beskrivelse;"Lab.-nr.	";14C-BP.;Kalibrert alder (2 sigma);Delta 13C;Øst_UTM32_ETRS89;Nord_UTM32_ETRS89;
191;"Anders Madsens gate 3	";"PK6602	";ST6245;Trebrolegging;"Beta-484365	";"960 ± 30	";"1025 – 1160 evt.	";"-23.7	";580130;6570847;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
192;"Anders Madsens gate 3	";"PK7350	";ST7315;Gjerde;"Beta-484366	";"860 ± 30	";"1052 – 1263 evt.	";"-24.4	";580131;6570852;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
166;"Baglergaten 2	";"PA1204	";ST1115;Planke;"Beta-455700	";"960 ± 30	";"1025 – 1160 evt.	";"-24.5	";580173;6570880;Haugesten, Lars (2017). Baglergaten 2. NIKU Oppdragsrapport 212/ 2016.
167;"Baglergaten 2	";"PK1489	";SL1476;Kokegrop;"Beta-455699	";"1560 ± 30	";"426 – 575 evt.	";"-21.3	";580199;6570878;Haugesten, Lars (2017). Baglergaten 2. NIKU Oppdragsrapport 212/ 2016.
168;"Baglergaten 2	";"PK1555	";SL1553;Kokegrop;"Beta-455701	";"2830 ± 30	";"1107 – 904 fvt.	";"-26.5	";580166;6570858;Haugesten, Lars (2017). Baglergaten 2. NIKU Oppdragsrapport 212/ 2016.
201;"Baglergaten 2	";"PA5215	";SL5004;Brannlag;"Beta-484348	";"760 ± 30	";"1222 – 1285 evt.	";"-25.8	";580197;6570876;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
202;"Baglergaten 2	";"PA6006	";ST5976;Staur;"Beta-484349	";"880 ± 30	";"1045 – 1228 evt.	";"-25.2	";580197;6570878;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
203;"Baglergaten 2	";"PA6279	";SL6137;Dyrkingslag;"Beta-484350	";"940 ± 30	";"1028 – 1172 evt.	";"-28.7	";580164;6570858;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
204;"Baglergaten 2	";"PA6628	";SL6567;Grøft;"Beta-484351	";"930 ± 30	";"1032 – 1203 evt.	";"-24.8	";580179;6570893;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
205;"Baglergaten 2	";"PA6774	";ST6735;Stolpehull;"Beta-484352	";"960 ± 30	";"1025 – 1160 evt.	";"-27.6	";580179;6570898;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
206;"Baglergaten 2	";"PK1962	";ST1895;Planke;"Beta-484347	";"1040 ± 30	";"896 – 1114 evt.	";"-24.4	";580168;6570859;Haugesten, Lars (2021). Baglergaten 2. NIKU Oppdragsrapport 59/2017. Norsk institutt for kulturminneforskning (NIKU).
292;"Baglergaten 2	";"TS5387	";K7;;"T-9027	";"940 ± 50	";"1022 – 1216 evt.	";"-26.1	";580230;6570897;
293;"Baglergaten 2	";"TS5686	";K72;;"T-9028	";"895 ± 75	";"1022 – 1270 evt.	";"-26.1	";580230;6570897;
56;"Baglergaten 2/4	";"TS2226	";K251;Kokegrop;"T-4728	";"2990 ± 90	";"1434 – 938 fvt.	";"-26.1	";580210;6570870;Brendalsmo, Jan (1986). Innberetning over de arkeologiske undersøkelsene i kvartalet Dore Langgate/Torogaten/Fayes gate/Kammegaten, Tonsberg 1976-1982. Tønsberg: Riksantikvaren.
57;"Baglergaten 2/4	";"TS2263	";K246;Ardspor;"T-4224A	";"1220 ± 40	";"676 – 940 evt.	";"-26.1	";580206;6570881;Brendalsmo, Jan (1986). Innberetning over de arkeologiske undersøkelsene i kvartalet Dore Langgate/Torogaten/Fayes gate/Kammegaten, Tonsberg 1976-1982. Tønsberg: Riksantikvaren.
